service_id,date,exception_type
EN_B2-Sunday,20220530,1
EN_B2-Weekday-SDon,20220415,2
EN_B2-Weekday-SDon,20220418,2
EN_B2-Weekday-SDon,20220419,2
EN_B2-Weekday-SDon,20220420,2
EN_B2-Weekday-SDon,20220421,2
EN_B2-Weekday-SDon,20220422,2
EN_B2-Weekday-SDon,20220502,2
EN_B2-Weekday-SDon,20220530,2
EN_B2-Weekday-SDon,20220609,2
EN_B2-Weekday-SDon,20220620,2
EN_B2-Weekday,20220425,2
EN_B2-Weekday,20220426,2
EN_B2-Weekday,20220427,2
EN_B2-Weekday,20220428,2
EN_B2-Weekday,20220429,2
EN_B2-Weekday,20220503,2
EN_B2-Weekday,20220504,2
EN_B2-Weekday,20220505,2
EN_B2-Weekday,20220506,2
EN_B2-Weekday,20220509,2
EN_B2-Weekday,20220510,2
EN_B2-Weekday,20220511,2
EN_B2-Weekday,20220512,2
EN_B2-Weekday,20220513,2
EN_B2-Weekday,20220516,2
EN_B2-Weekday,20220517,2
EN_B2-Weekday,20220518,2
EN_B2-Weekday,20220519,2
EN_B2-Weekday,20220520,2
EN_B2-Weekday,20220523,2
EN_B2-Weekday,20220524,2
EN_B2-Weekday,20220525,2
EN_B2-Weekday,20220526,2
EN_B2-Weekday,20220527,2
EN_B2-Weekday,20220530,2
EN_B2-Weekday,20220531,2
EN_B2-Weekday,20220601,2
EN_B2-Weekday,20220602,2
EN_B2-Weekday,20220603,2
EN_B2-Weekday,20220606,2
EN_B2-Weekday,20220607,2
EN_B2-Weekday,20220608,2
EN_B2-Weekday,20220610,2
EN_B2-Weekday,20220613,2
EN_B2-Weekday,20220614,2
EN_B2-Weekday,20220615,2
EN_B2-Weekday,20220616,2
EN_B2-Weekday,20220617,2
FB_B2-Sunday,20220530,1
FB_B2-Weekday-SDon,20220415,2
FB_B2-Weekday-SDon,20220418,2
FB_B2-Weekday-SDon,20220419,2
FB_B2-Weekday-SDon,20220420,2
FB_B2-Weekday-SDon,20220421,2
FB_B2-Weekday-SDon,20220422,2
FB_B2-Weekday-SDon,20220502,2
FB_B2-Weekday-SDon,20220530,2
FB_B2-Weekday-SDon,20220609,2
FB_B2-Weekday-SDon,20220620,2
FB_B2-Weekday,20220425,2
FB_B2-Weekday,20220426,2
FB_B2-Weekday,20220427,2
FB_B2-Weekday,20220428,2
FB_B2-Weekday,20220429,2
FB_B2-Weekday,20220503,2
FB_B2-Weekday,20220504,2
FB_B2-Weekday,20220505,2
FB_B2-Weekday,20220506,2
FB_B2-Weekday,20220509,2
FB_B2-Weekday,20220510,2
FB_B2-Weekday,20220511,2
FB_B2-Weekday,20220512,2
