route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
B82+,EN_B2-Weekday,EN_B2-Weekday-028500_SBS82_901,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,SBS821519
B82+,EN_B2-Weekday,EN_B2-Weekday-034800_SBS82_901,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,SBS821510
B82+,EN_B2-Weekday,EN_B2-Weekday-041700_SBS82_916,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,SBS821519
B82+,EN_B2-Weekday,EN_B2-Weekday-048000_SBS82_915,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,SBS821510
B82+,EN_B2-Weekday,EN_B2-Weekday-029900_SBS82_902,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,SBS821519
B82+,EN_B2-Weekday,EN_B2-Weekday-036300_SBS82_902,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,SBS821510
B82+,EN_B2-Weekday,EN_B2-Weekday-057800_SBS82_903,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,SBS821519
B82+,EN_B2-Weekday,EN_B2-Weekday-061600_SBS82_924,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,SBS821510
B82+,EN_B2-Weekday,EN_B2-Weekday-072200_SBS82_910,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,SBS821519
B82+,EN_B2-Weekday,EN_B2-Weekday-077200_SBS82_906,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,SBS821510
B82+,EN_B2-Weekday,EN_B2-Weekday-095100_SBS82_932,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,SBS821510
B82+,EN_B2-Weekday,EN_B2-Weekday-031300_SBS82_903,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,SBS821519
B82+,EN_B2-Weekday,EN_B2-Weekday-037600_SBS82_903,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,SBS821510
B82+,EN_B2-Weekday,EN_B2-Weekday-049800_SBS82_917,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,SBS821510
B82+,EN_B2-Weekday,EN_B2-Weekday-032700_SBS82_904,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,SBS821519
B82+,EN_B2-Weekday,EN_B2-Weekday-038800_SBS82_904,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,SBS821510
B82+,EN_B2-Weekday,EN_B2-Weekday-059000_SBS82_904,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,SBS821519
B82+,EN_B2-Weekday,EN_B2-Weekday-064000_SBS82_917,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,SBS821510
B82+,EN_B2-Weekday,EN_B2-Weekday-074600_SBS82_915,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,SBS821519
B82+,EN_B2-Weekday,EN_B2-Weekday-079600_SBS82_910,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,SBS821510
B82+,EN_B2-Weekday,EN_B2-Weekday-097800_SBS82_924,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,SBS821510
B82+,EN_B2-Weekday,EN_B2-Weekday-111200_SBS82_920,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,SBS821519
B82+,EN_B2-Weekday,EN_B2-Weekday-114400_SBS82_931,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,SBS821510
B82+,EN_B2-Weekday,EN_B2-Weekday-123000_SBS82_929,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,SBS821519
B82+,EN_B2-Weekday,EN_B2-Weekday-128200_SBS82_931,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,SBS821510
B82+,EN_B2-Weekday,EN_B2-Weekday-034100_SBS82_905,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,SBS821519
B82+,EN_B2-Weekday,EN_B2-Weekday-040000_SBS82_905,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,SBS821510
B82+,EN_B2-Weekday,EN_B2-Weekday-044700_SBS82_904,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,SBS821519
B82+,EN_B2-Weekday,EN_B2-Weekday-051000_SBS82_903,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,SBS821510
B82+,EN_B2-Weekday,EN_B2-Weekday-047800_SBS82_906,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,SBS821519
B82+,EN_B2-Weekday,EN_B2-Weekday-065200_SBS82_910,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,SBS821510
B82+,EN_B2-Weekday,EN_B2-Weekday-080800_SBS82_922,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,SBS821510
B82+,EN_B2-Weekday,EN_B2-Weekday-098700_SBS82_911,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,SBS821510
B82+,EN_B2-Weekday,EN_B2-Weekday-115300_SBS82_923,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,SBS821510
B82+,EN_B2-Weekday,EN_B2-Weekday-124500_SBS82_932,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,SBS821519
B82+,EN_B2-Weekday,EN_B2-Weekday-129500_SBS82_929,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,SBS821510
B82+,EN_B2-Weekday,EN_B2-Weekday-034900_SBS82_906,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,SBS821519
B82+,EN_B2-Weekday,EN_B2-Weekday-041000_SBS82_906,SELECT BUS SPRING CRK SEAVIEW via KINGS,0,SBS821510
B82+,EN_B2-Weekday,EN_B2-Weekday-049400_SBS82_908,SELECT BUS BENSNHRST BAY 38 via FLATLNDS,1,SBS821519
